Family,Phylum,col
F_Prevotellaceae,P_Bacteroidetes,#a6cee3
F_Lachnospiraceae,P_Firmicutes,#1f78b4
F_Bacteroidaceae,P_Bacteroidetes,#b2df8a
F_Ruminococcaceae,P_Firmicutes,#33a02c
K_Bacteria,K_Bacteria,#969696
P_Firmicutes,P_Firmicutes,#e31a1c
O_Clostridiales,P_Firmicutes,#fdbf6f
F_Erysipelotrichaceae,P_Firmicutes,#ff7f00
O_Bacteroidales,P_Bacteroidetes,#cab2d6
C_Clostridia,P_Firmicutes,#fdbf6f
F_Coriobacteriaceae,P_Actinobacteria,#fb9a99
F_Bifidobacteriaceae,P_Actinobacteria,#fb9a99
F_Carnobacteriaceae,P_Firmicutes,#41b6c4
F_Porphyromonadaceae,P_Bacteroidetes,#df65b0
O_Streptophyta,P_Cyanobacteria,#a1d99b
F_Alcaligenaceae,P_Proteobacteria,#fb6a4a
F_Desulfovibrionaceae,P_Proteobacteria,#fb6a4a
F_Micrococcaceae,P_Actinobacteria,#feb24c
F_Paraprevotellaceae,P_Bacteroidetes,#df65b0
F_Rikenellaceae,P_Bacteroidetes,#df65b0
F_Succinivibrionaceae,P_Proteobacteria,#fb6a4a
F_Veillonellaceae,P_Firmicutes,#41b6c4
P_Bacteroidetes,P_Bacteroidetes,#df65b0
F_Enterobacteriaceae,P_Proteobacteria,#fb6a4a
F_Odoribacteraceae,P_Bacteroidetes,#df65b0
