"","Key","Plate","Bead.Name","Well","MouseID","GroupID","Tissue","Stim","FecalSample","MFI","Count","Concentration","Bottom.MFI","Bottom.Conc","Top.MFI","Top.Conc","ConcFinal"
"1","1_IFN-a",1,"IFN-a","D3","SAF2","SAF","SPLEEN","LPS","HEU001",11,153,"18.64",45,21.24,15860.5,5990.73,"21.24"
"2","1_IFN-a",1,"IFN-a","E3","SAF3","SAF","SPLEEN","LPS","HEU001",10,131,"18.56",45,21.24,15860.5,5990.73,"21.24"
"3","1_IFN-a",1,"IFN-a","F3","SAF4","SAF","SPLEEN","LPS","HEU047",10,107,"18.56",45,21.24,15860.5,5990.73,"21.24"
"4","1_IFN-a",1,"IFN-a","G3","SAF5","SAF","SPLEEN","LPS","HEU047",10,118,"18.56",45,21.24,15860.5,5990.73,"21.24"
"5","1_IFN-a",1,"IFN-a","D4","SAF2","SAF","SPLEEN","R848","HEU001",171,93,"31.03",45,21.24,15860.5,5990.73,"31.03"
"6","1_IFN-a",1,"IFN-a","E4","SAF3","SAF","SPLEEN","R848","HEU001",41,121,"20.94",45,21.24,15860.5,5990.73,"21.24"
"7","1_IFN-a",1,"IFN-a","F4","SAF4","SAF","SPLEEN","R848","HEU047",152.5,118,"29.58",45,21.24,15860.5,5990.73,"29.58"
"8","1_IFN-a",1,"IFN-a","G4","SAF5","SAF","SPLEEN","R848","HEU047",388,153,"48.25",45,21.24,15860.5,5990.73,"48.25"
"9","1_IFN-a",1,"IFN-a","D5","SAF2","SAF","SPLEEN","US","HEU001",9,100,"18.49",45,21.24,15860.5,5990.73,"21.24"
"10","1_IFN-a",1,"IFN-a","E5","SAF3","SAF","SPLEEN","US","HEU001",10.5,100,"18.6",45,21.24,15860.5,5990.73,"21.24"
"11","1_IFN-a",1,"IFN-a","F5","SAF4","SAF","SPLEEN","US","HEU047",10,144,"18.56",45,21.24,15860.5,5990.73,"21.24"
"12","1_IFN-a",1,"IFN-a","G5","SAF5","SAF","SPLEEN","US","HEU047",9,112,"18.49",45,21.24,15860.5,5990.73,"21.24"
"13","1_IFN-a",1,"IFN-a","A6","SAF7","SAF","SPLEEN","LPS","HEU089",11,97,"18.64",45,21.24,15860.5,5990.73,"21.24"
"14","1_IFN-a",1,"IFN-a","B6","SAF8","SAF","SPLEEN","LPS","HEU089",10,127,"18.56",45,21.24,15860.5,5990.73,"21.24"
"15","1_IFN-a",1,"IFN-a","C6","SAF9","SAF","SPLEEN","LPS","HEU089",10,98,"18.56",45,21.24,15860.5,5990.73,"21.24"
