"Sample.ID","species","sample.type","cohort","human.donor","sample.species"
"C1-F","mouse","Feces","CAD","FM1005","Feces mouse"
"C1-I","mouse","Ileum","CAD","FM1005","Ileum mouse"
"C1-J","mouse","Jejunum","CAD","FM1005","Jejunum mouse"
"C2-F","mouse","Feces","CAD","FM1005","Feces mouse"
"C2-I","mouse","Ileum","CAD","FM1005","Ileum mouse"
"C2-J","mouse","Jejunum","CAD","FM1005","Jejunum mouse"
"C3-F","mouse","Feces","CAD","FM1005","Feces mouse"
"C3-I","mouse","Ileum","CAD","FM1005","Ileum mouse"
"C3-J","mouse","Jejunum","CAD","FM1005","Jejunum mouse"
"C4-F","mouse","Feces","CAD","FM1008","Feces mouse"
"C4-I","mouse","Ileum","CAD","FM1008","Ileum mouse"
"C4-J","mouse","Jejunum","CAD","FM1008","Jejunum mouse"
"C5-F","mouse","Feces","CAD","FM1008","Feces mouse"
"C5-I","mouse","Ileum","CAD","FM1008","Ileum mouse"
"C5-J","mouse","Jejunum","CAD","FM1008","Jejunum mouse"
"C6-F","mouse","Feces","CAD","FM1008","Feces mouse"
"C6-I","mouse","Ileum","CAD","FM1008","Ileum mouse"
"C6-J","mouse","Jejunum","CAD","FM1008","Jejunum mouse"
"C7-F","mouse","Feces","CAD","FM1011","Feces mouse"
"C7-I","mouse","Ileum","CAD","FM1011","Ileum mouse"
"C7-J","mouse","Jejunum","CAD","FM1011","Jejunum mouse"
"C8-F","mouse","Feces","CAD","FM1011","Feces mouse"
"C8-I","mouse","Ileum","CAD","FM1011","Ileum mouse"
"C8-J","mouse","Jejunum","CAD","FM1011","Jejunum mouse"
"C9-F","mouse","Feces","CAD","FM1011","Feces mouse"
"C9-I","mouse","Ileum","CAD","FM1011","Ileum mouse"
"C9-J","mouse","Jejunum","CAD","FM1011","Jejunum mouse"
"FM1005","human","Feces","CAD","FM1005","Feces human"
"FM1008","human","Feces","CAD","FM1008","Feces human"
"FM1011","human","Feces","CAD","FM1011","Feces human"
"HEU001G","human","Feces","SAF","HEU001G","Feces human"
"HEU047G","human","Feces","SAF","HEU047G","Feces human"
"HEU089G","human","Feces","SAF","HEU089G","Feces human"
"S1-F","mouse","Feces","SAF","HEU001G","Feces mouse"
"S1-I","mouse","Ileum","SAF","HEU001G","Ileum mouse"
"S1-J","mouse","Jejunum","SAF","HEU001G","Jejunum mouse"
"S2-F","mouse","Feces","SAF","HEU001G","Feces mouse"
"S2-I","mouse","Ileum","SAF","HEU001G","Ileum mouse"
"S2-J","mouse","Jejunum","SAF","HEU001G","Jejunum mouse"
"S3-F","mouse","Feces","SAF","HEU001G","Feces mouse"
"S3-I","mouse","Ileum","SAF","HEU001G","Ileum mouse"
"S3-J","mouse","Jejunum","SAF","HEU001G","Jejunum mouse"
"S4-F","mouse","Feces","SAF","HEU047G","Feces mouse"
"S4-I","mouse","Ileum","SAF","HEU047G","Ileum mouse"
"S4-J","mouse","Jejunum","SAF","HEU047G","Jejunum mouse"
"S5-F","mouse","Feces","SAF","HEU047G","Feces mouse"
"S5-I","mouse","Ileum","SAF","HEU047G","Ileum mouse"
"S5-J","mouse","Jejunum","SAF","HEU047G","Jejunum mouse"
"S6-F","mouse","Feces","SAF","HEU047G","Feces mouse"
"S6-I","mouse","Ileum","SAF","HEU047G","Ileum mouse"
"S6-J","mouse","Jejunum","SAF","HEU047G","Jejunum mouse"
"S7-F","mouse","Feces","SAF","HEU089G","Feces mouse"
"S7-I","mouse","Ileum","SAF","HEU089G","Ileum mouse"
"S7-J","mouse","Jejunum","SAF","HEU089G","Jejunum mouse"
"S8-F","mouse","Feces","SAF","HEU089G","Feces mouse"
"S8-I","mouse","Ileum","SAF","HEU089G","Ileum mouse"
"S8-J","mouse","Jejunum","SAF","HEU089G","Jejunum mouse"
"S9-F","mouse","Feces","SAF","HEU089G","Feces mouse"
"S9-J","mouse","Jejunum","SAF","HEU089G","Jejunum mouse"
