"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu0001","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu0002","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Akkermansia","s__muciniphila"
"Otu0003","k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae","g__Turicibacter","g__Turicibacter_unclassified"
"Otu0004","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu0005","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu0006","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__ovatus"
"Otu0007","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu0008","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__pseudolongum"
"Otu0009","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0010","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__copri"
"Otu0011","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__celatum"
"Otu0012","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Faecalibacterium","s__prausnitzii"
"Otu0013","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu0014","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu0015","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","f__Rikenellaceae_unclassified","f__Rikenellaceae_unclassified"
"Otu0016","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","f__S24-7_unclassified","f__S24-7_unclassified"
"Otu0017","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","g__Oscillospira_unclassified"
"Otu0018","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__uniformis"
"Otu0019","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","g__Lactobacillus_unclassified"
"Otu0020","k__Bacteria","p__Tenericutes","c__Mollicutes","o__Anaeroplasmatales","f__Anaeroplasmataceae","g__Anaeroplasma","g__Anaeroplasma_unclassified"
"Otu0021","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu0022","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Sutterella","g__Sutterella_unclassified"
"Otu0023","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides","s__distasonis"
"Otu0024","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","g__Oscillospira_unclassified"
"Otu0025","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides","g__Parabacteroides_unclassified"
"Otu0026","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__stercorea"
"Otu0027","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","g__Lactobacillus_unclassified"
"Otu0028","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Clostridium","g__Clostridium_unclassified"
"Otu0029","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0030","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Bacteroides_unclassified"
"Otu0031","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__caccae"
"Otu0032","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0033","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__finegoldii"
"Otu0034","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
